Graph String Name,Masrik Form of adjacency matrix
I?AA@?OA?,"[0 1 0 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0 0 0]
[0 0 0 1 0 0 0 0 0 0]
[0 0 1 0 0 0 0 0 0 0]
[0 0 0 0 0 1 0 0 0 0]
[0 0 0 0 1 0 0 0 0 0]
[0 0 0 0 0 0 0 1 0 0]
[0 0 0 0 0 0 1 0 0 0]
[0 0 0 0 0 0 0 0 0 1]
[0 0 0 0 0 0 0 0 1 0]"
I?BE@_gE?,"[0 1 1 0 0 0 0 0 0 0]
[1 0 0 1 0 0 0 0 0 0]
[1 0 0 1 0 0 0 0 0 0]
[0 1 1 0 0 0 0 0 0 0]
[0 0 0 0 0 1 1 0 0 0]
[0 0 0 0 1 0 0 1 0 0]
[0 0 0 0 1 0 0 0 1 0]
[0 0 0 0 0 1 0 0 0 1]
[0 0 0 0 0 0 1 0 0 1]
[0 0 0 0 0 0 0 1 1 0]"
I?BDA_gE?,"[0 1 1 0 0 0 0 0 0 0]
[1 0 0 1 0 0 0 0 0 0]
[1 0 0 0 1 0 0 0 0 0]
[0 1 0 0 0 1 0 0 0 0]
[0 0 1 0 0 0 1 0 0 0]
[0 0 0 1 0 0 0 1 0 0]
[0 0 0 0 1 0 0 0 1 0]
[0 0 0 0 0 1 0 0 0 1]
[0 0 0 0 0 0 1 0 0 1]
[0 0 0 0 0 0 0 1 1 0]"
I?`D@POD?,"[0 1 1 0 0 0 0 0 0 0]
[1 0 0 1 0 0 0 0 0 0]
[1 0 0 0 1 0 0 0 0 0]
[0 1 0 0 1 0 0 0 0 0]
[0 0 1 1 0 0 0 0 0 0]
[0 0 0 0 0 0 1 1 0 0]
[0 0 0 0 0 1 0 0 1 0]
[0 0 0 0 0 1 0 0 0 1]
[0 0 0 0 0 0 1 0 0 1]
[0 0 0 0 0 0 0 1 1 0]"
I?`CR?oD?,"[0 1 1 0 0 0 0 0 0 0]
[1 0 0 1 0 0 0 0 0 0]
[1 0 0 0 1 0 0 0 0 0]
[0 1 0 0 0 1 0 0 0 0]
[0 0 1 0 0 0 1 0 0 0]
[0 0 0 1 0 0 1 0 0 0]
[0 0 0 0 1 1 0 0 0 0]
[0 0 0 0 0 0 0 0 1 1]
[0 0 0 0 0 0 0 1 0 1]
[0 0 0 0 0 0 0 1 1 0]"
I?`CQGoK?,"[0 1 1 0 0 0 0 0 0 0]
[1 0 1 0 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0 0 0]
[0 0 0 0 1 1 0 0 0 0]
[0 0 0 1 0 0 1 0 0 0]
[0 0 0 1 0 0 1 0 0 0]
[0 0 0 0 1 1 0 0 0 0]
[0 0 0 0 0 0 0 0 1 1]
[0 0 0 0 0 0 0 1 0 1]
[0 0 0 0 0 0 0 1 1 0]"
I?BeeOwM?,"[0 1 1 1 0 0 0 0 0 0]
[1 0 0 0 1 1 0 0 0 0]
[1 0 0 0 1 1 0 0 0 0]
[1 0 0 0 0 0 1 1 0 0]
[0 1 1 0 0 0 0 0 1 0]
[0 1 1 0 0 0 0 0 0 1]
[0 0 0 1 0 0 0 0 1 1]
[0 0 0 1 0 0 0 0 1 1]
[0 0 0 0 1 0 1 1 0 0]
[0 0 0 0 0 1 1 1 0 0]"
I?Bcu`gM?,"[0 1 1 1 0 0 0 0 0 0]
[1 0 0 0 1 1 0 0 0 0]
[1 0 0 0 0 0 1 1 0 0]
[1 0 0 0 1 0 1 0 0 0]
[0 1 0 1 0 0 0 0 1 0]
[0 1 0 0 0 0 0 0 1 1]
[0 0 1 1 0 0 0 0 0 1]
[0 0 1 0 0 0 0 0 1 1]
[0 0 0 0 1 1 0 1 0 0]
[0 0 0 0 0 1 1 1 0 0]"
I?bFB_wF?,"[0 1 1 1 0 0 0 0 0 0]
[1 0 0 0 1 1 0 0 0 0]
[1 0 0 0 1 0 1 0 0 0]
[1 0 0 0 0 0 1 1 0 0]
[0 1 1 0 0 0 0 0 1 0]
[0 1 0 0 0 0 0 1 1 0]
[0 0 1 1 0 0 0 0 0 1]
[0 0 0 1 0 1 0 0 0 1]
[0 0 0 0 1 1 0 0 0 1]
[0 0 0 0 0 0 1 1 1 0]"
I?bEHow[?,"[0 1 1 1 0 0 0 0 0 0]
[1 0 0 0 1 1 0 0 0 0]
[1 0 0 0 0 0 1 1 0 0]
[1 0 0 0 0 0 1 1 0 0]
[0 1 0 0 0 1 0 0 1 0]
[0 1 0 0 1 0 0 0 1 0]
[0 0 1 1 0 0 0 0 0 1]
[0 0 1 1 0 0 0 0 0 1]
[0 0 0 0 1 1 0 0 0 1]
[0 0 0 0 0 0 1 1 1 0]"
I?`bfAWF?,"[0 1 1 1 0 0 0 0 0 0]
[1 0 0 0 1 1 0 0 0 0]
[1 0 0 0 1 1 0 0 0 0]
[1 0 0 0 0 0 1 1 0 0]
[0 1 1 0 0 0 0 0 1 0]
[0 1 1 0 0 0 1 0 0 0]
[0 0 0 1 0 1 0 0 0 1]
[0 0 0 1 0 0 0 0 1 1]
[0 0 0 0 1 0 0 1 0 1]
[0 0 0 0 0 0 1 1 1 0]"
I?`cu`oJ?,"[0 1 1 1 0 0 0 0 0 0]
[1 0 0 0 1 1 0 0 0 0]
[1 0 0 0 1 0 1 0 0 0]
[1 0 0 0 0 0 1 1 0 0]
[0 1 1 0 0 0 0 0 1 0]
[0 1 0 0 0 0 0 0 1 1]
[0 0 1 1 0 0 0 1 0 0]
[0 0 0 1 0 0 1 0 0 1]
[0 0 0 0 1 1 0 0 0 1]
[0 0 0 0 0 1 0 1 1 0]"
I?`cspoX?,"[0 1 1 1 0 0 0 0 0 0]
[1 0 0 0 1 1 0 0 0 0]
[1 0 0 0 0 0 1 1 0 0]
[1 0 0 0 0 0 1 1 0 0]
[0 1 0 0 0 0 0 0 1 1]
[0 1 0 0 0 0 0 0 1 1]
[0 0 1 1 0 0 0 1 0 0]
[0 0 1 1 0 0 1 0 0 0]
[0 0 0 0 1 1 0 0 0 1]
[0 0 0 0 1 1 0 0 1 0]"
I?`bM_we?,"[0 1 1 1 0 0 0 0 0 0]
[1 0 1 1 0 0 0 0 0 0]
[1 1 0 0 1 0 0 0 0 0]
[1 1 0 0 0 1 0 0 0 0]
[0 0 1 0 0 0 1 1 0 0]
[0 0 0 1 0 0 1 0 1 0]
[0 0 0 0 1 1 0 0 0 1]
[0 0 0 0 1 0 0 0 1 1]
[0 0 0 0 0 1 0 1 0 1]
[0 0 0 0 0 0 1 1 1 0]"
I?`cm`gM?,"[0 1 1 1 0 0 0 0 0 0]
[1 0 0 0 1 1 0 0 0 0]
[1 0 0 0 0 0 1 1 0 0]
[1 0 0 0 1 0 1 0 0 0]
[0 1 0 1 0 0 0 0 1 0]
[0 1 0 0 0 0 0 1 0 1]
[0 0 1 1 0 0 0 0 0 1]
[0 0 1 0 0 1 0 0 1 0]
[0 0 0 0 1 0 0 1 0 1]
[0 0 0 0 0 1 1 0 1 0]"
I?`cmPoM?,"[0 1 1 1 0 0 0 0 0 0]
[1 0 0 0 1 1 0 0 0 0]
[1 0 0 0 0 0 1 1 0 0]
[1 0 0 0 1 0 1 0 0 0]
[0 1 0 1 0 0 0 0 1 0]
[0 1 0 0 0 0 1 0 0 1]
[0 0 1 1 0 1 0 0 0 0]
[0 0 1 0 0 0 0 0 1 1]
[0 0 0 0 1 0 0 1 0 1]
[0 0 0 0 0 1 0 1 1 0]"
I?`amQoM?,"[0 1 1 1 0 0 0 0 0 0]
[1 0 1 0 1 0 0 0 0 0]
[1 1 0 0 0 1 0 0 0 0]
[1 0 0 0 0 0 1 1 0 0]
[0 1 0 0 0 0 1 1 0 0]
[0 0 1 0 0 0 0 0 1 1]
[0 0 0 1 1 0 0 0 1 0]
[0 0 0 1 1 0 0 0 0 1]
[0 0 0 0 0 1 1 0 0 1]
[0 0 0 0 0 1 0 1 1 0]"
I?`c]`oM?,"[0 1 1 1 0 0 0 0 0 0]
[1 0 0 0 1 1 0 0 0 0]
[1 0 0 0 1 0 1 0 0 0]
[1 0 0 0 0 1 1 0 0 0]
[0 1 1 0 0 0 0 1 0 0]
[0 1 0 1 0 0 0 0 1 0]
[0 0 1 1 0 0 0 0 0 1]
[0 0 0 0 1 0 0 0 1 1]
[0 0 0 0 0 1 0 1 0 1]
[0 0 0 0 0 0 1 1 1 0]"
I?aKZ`o[?,"[0 1 1 1 0 0 0 0 0 0]
[1 0 0 0 1 1 0 0 0 0]
[1 0 0 0 1 1 0 0 0 0]
[1 0 0 0 1 1 0 0 0 0]
[0 1 1 1 0 0 0 0 0 0]
[0 1 1 1 0 0 0 0 0 0]
[0 0 0 0 0 0 0 1 1 1]
[0 0 0 0 0 0 1 0 1 1]
[0 0 0 0 0 0 1 1 0 1]
[0 0 0 0 0 0 1 1 1 0]"
ICOfBaKF?,"[0 1 1 1 0 0 0 0 0 0]
[1 0 0 0 1 1 0 0 0 0]
[1 0 0 0 0 0 1 1 0 0]
[1 0 0 0 0 0 1 0 1 0]
[0 1 0 0 0 0 0 1 1 0]
[0 1 0 0 0 0 1 0 0 1]
[0 0 1 1 0 1 0 0 0 0]
[0 0 1 0 1 0 0 0 0 1]
[0 0 0 1 1 0 0 0 0 1]
[0 0 0 0 0 1 0 1 1 0]"
ICOf@pSb?,"[0 1 1 1 0 0 0 0 0 0]
[1 0 0 0 1 1 0 0 0 0]
[1 0 0 0 0 0 1 1 0 0]
[1 0 0 0 0 0 0 0 1 1]
[0 1 0 0 0 0 1 0 1 0]
[0 1 0 0 0 0 0 1 0 1]
[0 0 1 0 1 0 0 0 0 1]
[0 0 1 0 0 1 0 0 1 0]
[0 0 0 1 1 0 0 1 0 0]
[0 0 0 1 0 1 1 0 0 0]"
ICOef?kF?,"[0 1 1 1 0 0 0 0 0 0]
[1 0 0 0 1 1 0 0 0 0]
[1 0 0 0 0 0 1 1 0 0]
[1 0 0 0 1 0 0 0 1 0]
[0 1 0 1 0 1 0 0 0 0]
[0 1 0 0 1 0 0 0 0 1]
[0 0 1 0 0 0 0 1 1 0]
[0 0 1 0 0 0 1 0 0 1]
[0 0 0 1 0 0 1 0 0 1]
[0 0 0 0 0 1 0 1 1 0]"
ICOedPKL?,"[0 1 1 1 0 0 0 0 0 0]
[1 0 1 0 1 0 0 0 0 0]
[1 1 0 0 0 1 0 0 0 0]
[1 0 0 0 0 0 1 1 0 0]
[0 1 0 0 0 0 1 0 1 0]
[0 0 1 0 0 0 0 0 1 1]
[0 0 0 1 1 0 0 1 0 0]
[0 0 0 1 0 0 1 0 0 1]
[0 0 0 0 1 1 0 0 0 1]
[0 0 0 0 0 1 0 1 1 0]"
ICOedO[X?,"[0 1 1 1 0 0 0 0 0 0]
[1 0 1 0 1 0 0 0 0 0]
[1 1 0 0 0 1 0 0 0 0]
[1 0 0 0 0 0 1 1 0 0]
[0 1 0 0 0 0 1 0 1 0]
[0 0 1 0 0 0 1 0 0 1]
[0 0 0 1 1 1 0 0 0 0]
[0 0 0 1 0 0 0 0 1 1]
[0 0 0 0 1 0 0 1 0 1]
[0 0 0 0 0 1 0 1 1 0]"
ICQRD_kQ_,"[0 1 1 1 0 0 0 0 0 0]
[1 0 1 0 1 0 0 0 0 0]
[1 1 0 0 1 0 0 0 0 0]
[1 0 0 0 0 1 1 0 0 0]
[0 1 1 0 0 1 0 0 0 0]
[0 0 0 1 1 0 0 1 0 0]
[0 0 0 1 0 0 0 0 1 1]
[0 0 0 0 0 1 0 0 1 1]
[0 0 0 0 0 0 1 1 0 1]
[0 0 0 0 0 0 1 1 1 0]"
ICQRD_iR?,"[0 1 1 1 0 0 0 0 0 0]
[1 0 1 0 1 0 0 0 0 0]
[1 1 0 0 0 1 0 0 0 0]
[1 0 0 0 0 0 1 1 0 0]
[0 1 0 0 0 1 0 0 1 0]
[0 0 1 0 1 0 0 0 1 0]
[0 0 0 1 0 0 0 1 0 1]
[0 0 0 1 0 0 1 0 0 1]
[0 0 0 0 1 1 0 0 0 1]
[0 0 0 0 0 0 1 1 1 0]"
ICQRChgI_,"[0 1 1 1 0 0 0 0 0 0]
[1 0 1 0 1 0 0 0 0 0]
[1 1 0 0 0 1 0 0 0 0]
[1 0 0 0 1 1 0 0 0 0]
[0 1 0 1 0 1 0 0 0 0]
[0 0 1 1 1 0 0 0 0 0]
[0 0 0 0 0 0 0 1 1 1]
[0 0 0 0 0 0 1 0 1 1]
[0 0 0 0 0 0 1 1 0 1]
[0 0 0 0 0 0 1 1 1 0]"
I?BvUqw]?,"[0 1 1 1 1 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0]
[1 0 0 0 0 1 1 0 1 0]
[1 0 0 0 0 1 0 1 1 0]
[1 0 0 0 0 0 1 1 1 0]
[0 1 1 1 0 0 0 0 0 1]
[0 1 1 0 1 0 0 0 0 1]
[0 1 0 1 1 0 0 0 0 1]
[0 0 1 1 1 0 0 0 0 1]
[0 0 0 0 0 1 1 1 1 0]"
I?betpw\?,"[0 1 1 1 1 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0]
[1 0 0 0 0 1 1 0 1 0]
[1 0 0 0 0 1 0 0 1 1]
[1 0 0 0 0 0 1 0 1 1]
[0 1 1 1 0 0 0 1 0 0]
[0 1 1 0 1 0 0 1 0 0]
[0 1 0 0 0 1 1 0 0 1]
[0 0 1 1 1 0 0 0 0 1]
[0 0 0 1 1 0 0 1 1 0]"
I?bejpwm?,"[0 1 1 1 1 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0]
[1 0 0 0 0 1 0 0 1 1]
[1 0 0 0 0 1 1 0 1 0]
[1 0 0 0 0 1 1 0 0 1]
[0 1 1 1 1 0 0 0 0 0]
[0 1 0 1 1 0 0 1 0 0]
[0 1 0 0 0 0 1 0 1 1]
[0 0 1 1 0 0 0 1 0 1]
[0 0 1 0 1 0 0 1 1 0]"
I?bc~`w]?,"[0 1 1 1 1 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0]
[1 0 0 0 0 1 1 0 1 0]
[1 0 0 0 0 1 0 0 1 1]
[1 0 0 0 0 1 0 0 1 1]
[0 1 1 1 1 0 0 0 0 0]
[0 1 1 0 0 0 0 1 0 1]
[0 1 0 0 0 0 1 0 1 1]
[0 0 1 1 1 0 0 1 0 0]
[0 0 0 1 1 0 1 1 0 0]"
I?ba~`wm?,"[0 1 1 1 1 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0]
[1 0 0 0 0 1 0 0 1 1]
[1 0 0 0 0 1 1 0 1 0]
[1 0 0 0 0 0 1 0 1 1]
[0 1 1 1 0 0 0 0 0 1]
[0 1 0 1 1 0 0 1 0 0]
[0 1 0 0 0 0 1 0 1 1]
[0 0 1 1 1 0 0 1 0 0]
[0 0 1 0 1 1 0 1 0 0]"
I?`rnRWm?,"[0 1 1 1 1 0 0 0 0 0]
[1 0 1 1 1 0 0 0 0 0]
[1 1 0 0 0 1 1 0 0 0]
[1 1 0 0 0 1 0 1 0 0]
[1 1 0 0 0 0 1 1 0 0]
[0 0 1 1 0 0 0 0 1 1]
[0 0 1 0 1 0 0 0 1 1]
[0 0 0 1 1 0 0 0 1 1]
[0 0 0 0 0 1 1 1 0 1]
[0 0 0 0 0 1 1 1 1 0]"
I?rFf_{N?,"[0 1 1 1 1 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0]
[1 0 0 0 0 1 1 1 0 0]
[1 0 0 0 0 1 0 0 1 1]
[1 0 0 0 0 1 0 0 1 1]
[0 1 1 1 1 0 0 0 0 0]
[0 1 1 0 0 0 0 0 1 1]
[0 1 1 0 0 0 0 0 1 1]
[0 0 0 1 1 0 1 1 0 0]
[0 0 0 1 1 0 1 1 0 0]"
I?rDtps\?,"[0 1 1 1 1 0 0 0 0 0]
[1 0 1 0 0 1 1 0 0 0]
[1 1 0 0 0 1 0 1 0 0]
[1 0 0 0 0 1 0 0 1 1]
[1 0 0 0 0 1 0 0 1 1]
[0 1 1 1 1 0 0 0 0 0]
[0 1 0 0 0 0 0 1 1 1]
[0 0 1 0 0 0 1 0 1 1]
[0 0 0 1 1 0 1 1 0 0]
[0 0 0 1 1 0 1 1 0 0]"
