Graph String Name,Masrik Form of Adjacency Matrix
D?{,"[0 1 1 1 1]
[1 0 0 0 0]
[1 0 0 0 0]
[1 0 0 0 0]
[1 0 0 0 0]"
DCw,"[0 1 1 1 0]
[1 0 0 0 1]
[1 0 0 0 0]
[1 0 0 0 0]
[0 1 0 0 0]"
DC{,"[0 1 1 1 1]
[1 0 1 0 0]
[1 1 0 0 0]
[1 0 0 0 0]
[1 0 0 0 0]"
DEw,"[0 1 1 1 0]
[1 0 0 0 1]
[1 0 0 0 1]
[1 0 0 0 0]
[0 1 1 0 0]"
DEk,"[0 1 1 1 0]
[1 0 1 0 1]
[1 1 0 0 0]
[1 0 0 0 0]
[0 1 0 0 0]"
DE{,"[0 1 1 1 1]
[1 0 1 1 0]
[1 1 0 0 0]
[1 1 0 0 0]
[1 0 0 0 0]"
DFw,"[0 1 1 1 0]
[1 0 0 0 1]
[1 0 0 0 1]
[1 0 0 0 1]
[0 1 1 1 0]"
DF{,"[0 1 1 1 1]
[1 0 1 1 1]
[1 1 0 0 0]
[1 1 0 0 0]
[1 1 0 0 0]"
DQo,"[0 1 1 0 0]
[1 0 0 1 0]
[1 0 0 0 1]
[0 1 0 0 0]
[0 0 1 0 0]"
DQw,"[0 1 1 1 0]
[1 0 1 0 0]
[1 1 0 0 0]
[1 0 0 0 1]
[0 0 0 1 0]"
DQ{,"[0 1 1 1 1]
[1 0 1 0 0]
[1 1 0 0 0]
[1 0 0 0 1]
[1 0 0 1 0]"
DUW,"[0 1 1 0 0]
[1 0 0 1 0]
[1 0 0 0 1]
[0 1 0 0 1]
[0 0 1 1 0]"
DUw,"[0 1 1 1 0]
[1 0 1 0 1]
[1 1 0 0 0]
[1 0 0 0 1]
[0 1 0 1 0]"
DU{,"[0 1 1 1 1]
[1 0 1 1 0]
[1 1 0 0 1]
[1 1 0 0 0]
[1 0 1 0 0]"
DTw,"[0 1 1 1 0]
[1 0 1 0 1]
[1 1 0 0 1]
[1 0 0 0 0]
[0 1 1 0 0]"
DT{,"[0 1 1 1 1]
[1 0 1 1 0]
[1 1 0 1 0]
[1 1 1 0 0]
[1 0 0 0 0]"
DV{,"[0 1 1 1 1]
[1 0 1 1 1]
[1 1 0 1 0]
[1 1 1 0 0]
[1 1 0 0 0]"
D]w,"[0 1 1 1 0]
[1 0 1 0 1]
[1 1 0 0 1]
[1 0 0 0 1]
[0 1 1 1 0]"
D]{,"[0 1 1 1 1]
[1 0 1 1 0]
[1 1 0 0 1]
[1 1 0 0 1]
[1 0 1 1 0]"
D^{,"[0 1 1 1 1]
[1 0 1 1 1]
[1 1 0 1 1]
[1 1 1 0 0]
[1 1 1 0 0]"
D~{,"[0 1 1 1 1]
[1 0 1 1 1]
[1 1 0 1 1]
[1 1 1 0 1]
[1 1 1 1 0]"
