Graph String Name,Masrik Form of Adjacency Matrix
ECxo,"[0 1 1 1 0 0]
[1 0 0 0 1 0]
[1 0 0 0 0 1]
[1 0 0 0 0 1]
[0 1 0 0 0 1]
[0 0 1 1 1 0]"
ECzo,"[0 1 1 1 1 0]
[1 0 1 0 0 1]
[1 1 0 0 0 0]
[1 0 0 0 0 1]
[1 0 0 0 0 1]
[0 1 0 1 1 0]"
ECzg,"[0 1 1 1 1 0]
[1 0 1 1 1 0]
[1 1 0 0 0 1]
[1 1 0 0 0 0]
[1 1 0 0 0 0]
[0 0 1 0 0 0]"
ECzW,"[0 1 1 1 1 0]
[1 0 1 1 0 1]
[1 1 0 0 0 1]
[1 1 0 0 0 0]
[1 0 0 0 0 0]
[0 1 1 0 0 0]"
ECxw,"[0 1 1 1 1 0]
[1 0 1 1 0 1]
[1 1 0 0 0 0]
[1 1 0 0 0 0]
[1 0 0 0 0 1]
[0 1 0 0 1 0]"
ECzw,"[0 1 1 1 1 1]
[1 0 1 1 1 0]
[1 1 0 0 0 1]
[1 1 0 0 0 0]
[1 1 0 0 0 0]
[1 0 1 0 0 0]"
ECvo,"[0 1 1 1 1 0]
[1 0 1 0 0 1]
[1 1 0 0 0 1]
[1 0 0 0 0 1]
[1 0 0 0 0 0]
[0 1 1 1 0 0]"
ECuw,"[0 1 1 1 1 0]
[1 0 1 1 0 1]
[1 1 0 1 0 0]
[1 1 1 0 0 0]
[1 0 0 0 0 0]
[0 1 0 0 0 0]"
ECvw,"[0 1 1 1 1 1]
[1 0 1 1 1 0]
[1 1 0 1 0 0]
[1 1 1 0 0 0]
[1 1 0 0 0 0]
[1 0 0 0 0 0]"
EC~o,"[0 1 1 1 1 0]
[1 0 1 0 0 1]
[1 1 0 0 0 1]
[1 0 0 0 0 1]
[1 0 0 0 0 1]
[0 1 1 1 1 0]"
EC~w,"[0 1 1 1 1 1]
[1 0 1 1 1 1]
[1 1 0 1 0 0]
[1 1 1 0 0 0]
[1 1 0 0 0 0]
[1 1 0 0 0 0]"
EEr_,"[0 1 1 1 0 0]
[1 0 0 0 1 1]
[1 0 0 0 1 1]
[1 0 0 0 0 0]
[0 1 1 0 0 0]
[0 1 1 0 0 0]"
EEro,"[0 1 1 1 1 0]
[1 0 1 1 0 0]
[1 1 0 0 0 1]
[1 1 0 0 0 1]
[1 0 0 0 0 0]
[0 0 1 1 0 0]"
EErw,"[0 1 1 1 1 1]
[1 0 1 1 0 0]
[1 1 0 0 1 0]
[1 1 0 0 1 0]
[1 0 1 1 0 0]
[1 0 0 0 0 0]"
EEh_,"[0 1 1 0 0 0]
[1 0 0 1 0 0]
[1 0 0 0 1 0]
[0 1 0 0 0 1]
[0 0 1 0 0 1]
[0 0 0 1 1 0]"
EEj_,"[0 1 1 1 0 0]
[1 0 0 0 1 1]
[1 0 0 0 1 0]
[1 0 0 0 0 1]
[0 1 1 0 0 0]
[0 1 0 1 0 0]"
EEio,"[0 1 1 1 0 0]
[1 0 1 0 1 0]
[1 1 0 0 0 1]
[1 0 0 0 0 0]
[0 1 0 0 0 1]
[0 0 1 0 1 0]"
EEho,"[0 1 1 1 0 0]
[1 0 1 0 1 0]
[1 1 0 0 0 0]
[1 0 0 0 0 1]
[0 1 0 0 0 1]
[0 0 0 1 1 0]"
EEiW,"[0 1 1 1 0 0]
[1 0 1 0 1 0]
[1 1 0 0 1 0]
[1 0 0 0 0 0]
[0 1 1 0 0 1]
[0 0 0 0 1 0]"
EEhW,"[0 1 1 1 0 0]
[1 0 1 0 1 0]
[1 1 0 0 0 0]
[1 0 0 0 1 0]
[0 1 0 1 0 1]
[0 0 0 0 1 0]"
EEjo,"[0 1 1 1 1 0]
[1 0 1 1 0 0]
[1 1 0 0 0 1]
[1 1 0 0 0 0]
[1 0 0 0 0 1]
[0 0 1 0 1 0]"
EEjW,"[0 1 1 1 1 0]
[1 0 1 0 0 1]
[1 1 0 1 0 0]
[1 0 1 0 1 0]
[1 0 0 1 0 0]
[0 1 0 0 0 0]"
EEhw,"[0 1 1 1 1 0]
[1 0 1 0 0 1]
[1 1 0 0 0 0]
[1 0 0 0 1 1]
[1 0 0 1 0 0]
[0 1 0 1 0 0]"
EEjw,"[0 1 1 1 1 1]
[1 0 1 1 0 0]
[1 1 0 0 1 0]
[1 1 0 0 0 0]
[1 0 1 0 0 1]
[1 0 0 0 1 0]"
EEz_,"[0 1 1 1 0 0]
[1 0 0 0 1 1]
[1 0 0 0 1 1]
[1 0 0 0 1 0]
[0 1 1 1 0 0]
[0 1 1 0 0 0]"
EEzO,"[0 1 1 1 0 0]
[1 0 0 0 1 1]
[1 0 0 0 1 1]
[1 0 0 0 0 0]
[0 1 1 0 0 1]
[0 1 1 0 1 0]"
EEzo,"[0 1 1 1 1 0]
[1 0 1 1 0 0]
[1 1 0 0 0 1]
[1 1 0 0 0 1]
[1 0 0 0 0 1]
[0 0 1 1 1 0]"
EEzg,"[0 1 1 1 1 0]
[1 0 1 1 1 0]
[1 1 0 0 0 1]
[1 1 0 0 0 1]
[1 1 0 0 0 0]
[0 0 1 1 0 0]"
EEzw,"[0 1 1 1 1 1]
[1 0 1 1 1 0]
[1 1 0 0 0 1]
[1 1 0 0 0 1]
[1 1 0 0 0 0]
[1 0 1 1 0 0]"
EEvo,"[0 1 1 1 1 0]
[1 0 1 1 0 1]
[1 1 0 0 0 1]
[1 1 0 0 0 1]
[1 0 0 0 0 0]
[0 1 1 1 0 0]"
EEuw,"[0 1 1 1 1 0]
[1 0 1 1 0 1]
[1 1 0 1 1 0]
[1 1 1 0 0 0]
[1 0 1 0 0 0]
[0 1 0 0 0 0]"
EEvw,"[0 1 1 1 1 1]
[1 0 1 1 1 0]
[1 1 0 1 1 0]
[1 1 1 0 0 0]
[1 1 1 0 0 0]
[1 0 0 0 0 0]"
EEno,"[0 1 1 1 1 0]
[1 0 1 1 0 1]
[1 1 0 0 0 1]
[1 1 0 0 0 0]
[1 0 0 0 0 1]
[0 1 1 0 1 0]"
EElw,"[0 1 1 1 1 0]
[1 0 1 1 0 1]
[1 1 0 0 1 1]
[1 1 0 0 0 0]
[1 0 1 0 0 0]
[0 1 1 0 0 0]"
EEnw,"[0 1 1 1 1 1]
[1 0 1 1 1 0]
[1 1 0 1 0 1]
[1 1 1 0 0 0]
[1 1 0 0 0 0]
[1 0 1 0 0 0]"
EE~w,"[0 1 1 1 1 1]
[1 0 1 1 1 1]
[1 1 0 1 1 0]
[1 1 1 0 0 0]
[1 1 1 0 0 0]
[1 1 0 0 0 0]"
EFz_,"[0 1 1 1 0 0]
[1 0 0 0 1 1]
[1 0 0 0 1 1]
[1 0 0 0 1 1]
[0 1 1 1 0 0]
[0 1 1 1 0 0]"
EFzo,"[0 1 1 1 1 0]
[1 0 1 1 1 0]
[1 1 0 0 0 1]
[1 1 0 0 0 1]
[1 1 0 0 0 1]
[0 0 1 1 1 0]"
EFzW,"[0 1 1 1 1 0]
[1 0 1 1 0 1]
[1 1 0 0 0 1]
[1 1 0 0 0 1]
[1 0 0 0 0 1]
[0 1 1 1 1 0]"
EFzw,"[0 1 1 1 1 1]
[1 0 1 1 1 0]
[1 1 0 0 0 1]
[1 1 0 0 0 1]
[1 1 0 0 0 1]
[1 0 1 1 1 0]"
EF~w,"[0 1 1 1 1 1]
[1 0 1 1 1 1]
[1 1 0 1 1 1]
[1 1 1 0 0 0]
[1 1 1 0 0 0]
[1 1 1 0 0 0]"
EQj_,"[0 1 1 1 0 0]
[1 0 1 0 1 0]
[1 1 0 0 1 0]
[1 0 0 0 0 1]
[0 1 1 0 0 0]
[0 0 0 1 0 0]"
EQjO,"[0 1 1 1 0 0]
[1 0 0 0 1 1]
[1 0 0 1 0 0]
[1 0 1 0 0 0]
[0 1 0 0 0 1]
[0 1 0 0 1 0]"
EQjo,"[0 1 1 1 1 0]
[1 0 1 0 0 0]
[1 1 0 0 0 0]
[1 0 0 0 1 1]
[1 0 0 1 0 1]
[0 0 0 1 1 0]"
EQjg,"[0 1 1 1 1 0]
[1 0 1 1 0 0]
[1 1 0 1 0 0]
[1 1 1 0 0 0]
[1 0 0 0 0 1]
[0 0 0 0 1 0]"
EQjw,"[0 1 1 1 1 1]
[1 0 1 0 0 0]
[1 1 0 0 0 0]
[1 0 0 0 1 1]
[1 0 0 1 0 1]
[1 0 0 1 1 0]"
EQzO,"[0 1 1 1 0 0]
[1 0 1 0 1 0]
[1 1 0 0 0 0]
[1 0 0 0 1 1]
[0 1 0 1 0 1]
[0 0 0 1 1 0]"
EQzo,"[0 1 1 1 1 0]
[1 0 1 0 0 1]
[1 1 0 0 0 0]
[1 0 0 0 1 1]
[1 0 0 1 0 1]
[0 1 0 1 1 0]"
EQzg,"[0 1 1 1 1 0]
[1 0 1 1 1 0]
[1 1 0 1 0 0]
[1 1 1 0 0 0]
[1 1 0 0 0 1]
[0 0 0 0 1 0]"
EQzW,"[0 1 1 1 1 0]
[1 0 1 1 0 1]
[1 1 0 0 1 0]
[1 1 0 0 0 1]
[1 0 1 0 0 0]
[0 1 0 1 0 0]"
EQyw,"[0 1 1 1 1 0]
[1 0 1 1 0 1]
[1 1 0 1 0 0]
[1 1 1 0 0 0]
[1 0 0 0 0 1]
[0 1 0 0 1 0]"
EQzw,"[0 1 1 1 1 1]
[1 0 1 1 1 0]
[1 1 0 1 0 0]
[1 1 1 0 0 0]
[1 1 0 0 0 1]
[1 0 0 0 1 0]"
