Graph String Name,Masrik Form of adjacency matrix
J?BeeYwMbo?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 0 1 0 1 1 0]
[1 0 0 0 0 0 0 1 1 1 0]
[0 1 1 0 0 0 0 0 1 0 1]
[0 1 0 1 0 0 0 1 0 0 1]
[0 1 0 0 1 0 1 0 0 0 1]
[0 0 1 1 1 1 0 0 0 0 0]
[0 0 1 1 1 0 0 0 0 0 1]
[0 0 0 0 0 1 1 1 0 1 0]"
J?Becyi]Bo?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 1 0 1 0 0]
[1 0 0 0 0 1 0 1 0 1 0]
[1 0 0 0 0 1 0 0 1 1 0]
[0 1 1 1 1 0 0 0 0 0 0]
[0 1 1 0 0 0 0 0 0 1 1]
[0 1 0 1 0 0 0 0 1 0 1]
[0 0 1 0 1 0 0 1 0 0 1]
[0 0 0 1 1 0 1 0 0 0 1]
[0 0 0 0 0 0 1 1 1 1 0]"
J?BcvJWMbo?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 0 1 0 1 1 0]
[0 1 1 1 0 0 0 0 0 0 1]
[0 1 1 0 1 0 0 1 0 0 0]
[0 1 1 0 0 0 1 0 0 0 1]
[0 0 0 1 1 0 0 0 0 1 1]
[0 0 0 1 1 0 0 0 1 0 1]
[0 0 0 0 0 1 0 1 1 1 0]"
J?BcvIY]Bo?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 1 0 0 1 1 0]
[0 1 1 1 1 0 0 0 0 0 0]
[0 1 1 0 0 0 0 1 0 0 1]
[0 1 1 0 0 0 1 0 0 0 1]
[0 0 0 1 1 0 0 0 0 1 1]
[0 0 0 1 1 0 0 0 1 0 1]
[0 0 0 0 0 0 1 1 1 1 0]"
J?BcujgMbo?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 1 0 1 0 0]
[1 0 0 0 0 0 0 1 1 1 0]
[1 0 0 0 0 1 0 0 1 1 0]
[0 1 1 0 1 0 1 0 0 0 0]
[0 1 1 0 0 1 0 0 0 0 1]
[0 1 0 1 0 0 0 0 0 1 1]
[0 0 1 1 1 0 0 0 0 0 1]
[0 0 0 1 1 0 0 1 0 0 1]
[0 0 0 0 0 0 1 1 1 1 0]"
J?BcuiwYbo?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 1 0 1 0 0]
[1 0 0 0 0 0 0 1 1 1 0]
[1 0 0 0 0 1 0 0 1 1 0]
[0 1 1 0 1 0 0 0 0 0 1]
[0 1 1 0 0 0 0 0 1 0 1]
[0 1 0 1 0 0 0 0 0 1 1]
[0 0 1 1 1 0 1 0 0 0 0]
[0 0 0 1 1 0 0 1 0 0 1]
[0 0 0 0 0 1 1 1 0 1 0]"
J?Bcuii]Bo?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 1 0 1 0 0]
[1 0 0 0 0 1 0 1 0 1 0]
[1 0 0 0 0 1 0 0 1 1 0]
[0 1 1 1 1 0 0 0 0 0 0]
[0 1 1 0 0 0 0 0 1 0 1]
[0 1 0 1 0 0 0 0 0 1 1]
[0 0 1 0 1 0 1 0 0 0 1]
[0 0 0 1 1 0 0 1 0 0 1]
[0 0 0 0 0 0 1 1 1 1 0]"
J?Bcsza]Bo?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 1 0 0 1 1 0]
[0 1 1 1 1 0 0 0 0 0 0]
[0 1 1 0 0 0 0 0 1 0 1]
[0 1 1 0 0 0 0 0 0 1 1]
[0 0 0 1 1 0 1 0 0 0 1]
[0 0 0 1 1 0 0 1 0 0 1]
[0 0 0 0 0 0 1 1 1 1 0]"
J?`FdZoNAw?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 1 1 0 0 0 1]
[1 0 0 0 0 1 0 0 1 0 1]
[0 1 1 1 1 0 0 0 0 0 0]
[0 1 0 1 0 0 0 1 0 1 0]
[0 1 0 0 0 0 1 0 1 0 1]
[0 0 1 0 1 0 0 1 0 1 0]
[0 0 1 0 0 0 1 0 1 0 1]
[0 0 0 1 1 0 0 1 0 1 0]"
J?`FdYs]Aw?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 0 1 0 1 0 1]
[1 0 0 0 0 1 0 0 1 0 1]
[0 1 1 0 1 0 0 0 0 1 0]
[0 1 0 1 0 0 0 1 0 1 0]
[0 1 0 0 0 0 1 0 1 0 1]
[0 0 1 1 1 0 0 1 0 0 0]
[0 0 1 0 0 1 1 0 0 0 1]
[0 0 0 1 1 0 0 1 0 1 0]"
J?bFF`wN?{?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 0 0 0 1 1 1]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 1 1 0 1 0 0]
[0 1 0 1 1 0 0 0 0 0 1]
[0 1 0 0 1 0 0 0 0 1 1]
[0 1 0 0 0 0 0 0 1 1 1]
[0 0 1 1 1 0 0 1 0 0 0]
[0 0 1 1 0 0 1 1 0 0 0]
[0 0 1 0 0 1 1 1 0 0 0]"
J?bFEg{]@s?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 0 0 0 1 1 1]
[1 0 0 0 0 1 1 0 1 0 0]
[1 0 0 0 0 1 1 0 0 1 0]
[0 1 0 1 1 0 0 0 0 0 1]
[0 1 0 1 1 0 0 0 0 1 0]
[0 1 0 0 0 0 0 0 1 1 1]
[0 0 1 1 0 0 0 1 0 0 1]
[0 0 1 0 1 0 1 1 0 0 0]
[0 0 1 0 0 1 0 1 1 0 0]"
J?bFDg{]As?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 0 0 0 1 1 1 0 0 0]
[1 0 0 0 0 1 0 0 1 1 0]
[1 0 0 0 0 0 1 0 1 0 1]
[1 0 0 0 0 1 1 0 0 0 1]
[0 1 1 0 1 0 0 0 1 0 0]
[0 1 0 1 1 0 0 0 0 1 0]
[0 1 0 0 0 0 0 0 1 1 1]
[0 0 1 1 0 1 0 1 0 0 0]
[0 0 1 0 0 0 1 1 0 0 1]
[0 0 0 1 1 0 0 1 0 1 0]"
J?bFBh[m@s?,"[0 1 1 1 1 0 0 0 0 0 0]
[1 0 1 0 0 1 1 0 0 0 0]
[1 1 0 0 0 1 0 1 0 0 0]
[1 0 0 0 0 0 0 1 1 1 0]
[1 0 0 0 0 1 0 0 1 1 0]
[0 1 1 0 1 0 0 0 0 0 1]
[0 1 0 0 0 0 0 1 1 0 1]
[0 0 1 1 0 0 1 0 0 1 0]
[0 0 0 1 1 0 1 0 0 0 1]
[0 0 0 1 1 0 0 1 0 0 1]
[0 0 0 0 0 1 1 0 1 1 0]"
