Graph String Name,Masrik Form of Adjacency Matrix
G???F{,"[0 1 1 1 1 1 1 1]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]"
G??CFw,"[0 1 1 1 1 1 1 0]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]"
G??CF{,"[0 1 1 1 1 1 1 1]
[1 0 1 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]"
G??EDw,"[0 1 1 0 0 0 0 0]
[1 0 0 1 0 0 0 0]
[1 0 0 0 0 0 0 0]
[0 1 0 0 1 1 1 1]
[0 0 0 1 0 0 0 0]
[0 0 0 1 0 0 0 0]
[0 0 0 1 0 0 0 0]
[0 0 0 1 0 0 0 0]"
G??E@{,"[0 1 1 1 0 0 0 0]
[1 0 0 0 1 1 1 1]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]"
G??EFw,"[0 1 1 1 1 1 1 0]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[0 1 1 0 0 0 0 0]"
G??ED{,"[0 1 1 1 0 0 0 0]
[1 0 1 0 1 1 1 1]
[1 1 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]"
G??EF{,"[0 1 1 1 1 1 1 1]
[1 0 1 1 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]"
G??FCw,"[0 1 1 1 0 0 0 0]
[1 0 0 0 1 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[0 1 0 0 0 1 1 1]
[0 0 0 0 1 0 0 0]
[0 0 0 0 1 0 0 0]
[0 0 0 0 1 0 0 0]"
G??F?{,"[0 1 1 1 1 0 0 0]
[1 0 0 0 0 1 1 1]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]"
G??FEw,"[0 1 1 1 0 0 0 0]
[1 0 0 0 1 0 0 0]
[1 0 0 0 1 0 0 0]
[1 0 0 0 0 0 0 0]
[0 1 1 0 0 1 1 1]
[0 0 0 0 1 0 0 0]
[0 0 0 0 1 0 0 0]
[0 0 0 0 1 0 0 0]"
G??FC{,"[0 1 1 1 1 0 0 0]
[1 0 1 0 0 1 1 1]
[1 1 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]"
G??FFw,"[0 1 1 1 1 1 1 0]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[0 1 1 1 0 0 0 0]"
G??FE{,"[0 1 1 1 1 0 0 0]
[1 0 1 1 0 1 1 1]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]"
G??FF{,"[0 1 1 1 1 1 1 1]
[1 0 1 1 1 0 0 0]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]"
G??FeW,"[0 1 1 1 1 0 0 0]
[1 0 0 0 0 1 0 0]
[1 0 0 0 0 1 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[0 1 1 0 0 0 1 1]
[0 0 0 0 0 1 0 0]
[0 0 0 0 0 1 0 0]"
G??FfW,"[0 1 1 1 1 0 0 0]
[1 0 0 0 0 1 0 0]
[1 0 0 0 0 1 0 0]
[1 0 0 0 0 1 0 0]
[1 0 0 0 0 0 0 0]
[0 1 1 1 0 0 1 1]
[0 0 0 0 0 1 0 0]
[0 0 0 0 0 1 0 0]"
G??Fe[,"[0 1 1 1 1 1 0 0]
[1 0 1 1 0 0 1 1]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]"
G??Ffw,"[0 1 1 1 1 1 1 0]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[0 1 1 1 1 0 0 0]"
G??Ff[,"[0 1 1 1 1 1 0 0]
[1 0 1 1 1 0 1 1]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]"
G??Ff{,"[0 1 1 1 1 1 1 1]
[1 0 1 1 1 1 0 0]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]"
G??Fvg,"[0 1 1 1 1 1 0 0]
[1 0 0 0 0 0 1 0]
[1 0 0 0 0 0 1 0]
[1 0 0 0 0 0 1 0]
[1 0 0 0 0 0 1 0]
[1 0 0 0 0 0 0 0]
[0 1 1 1 1 0 0 1]
[0 0 0 0 0 0 1 0]"
G??Fvw,"[0 1 1 1 1 1 1 0]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 0]
[0 1 1 1 1 1 0 0]"
G??Fvk,"[0 1 1 1 1 1 1 0]
[1 0 1 1 1 1 0 1]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]"
G??Fv{,"[0 1 1 1 1 1 1 1]
[1 0 1 1 1 1 1 0]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]"
G??F~w,"[0 1 1 1 1 1 1 0]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 1]
[0 1 1 1 1 1 1 0]"
G??F~{,"[0 1 1 1 1 1 1 1]
[1 0 1 1 1 1 1 1]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0]"
G?AAFo,"[0 1 1 1 1 1 0 0]
[1 0 0 0 0 0 1 0]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[0 1 0 0 0 0 0 0]
[0 0 1 0 0 0 0 0]"
G?AAFw,"[0 1 1 1 1 1 1 0]
[1 0 1 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 0 0 0 0 0 0 1]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[0 0 0 1 0 0 0 0]"
G?AAF{,"[0 1 1 1 1 1 1 1]
[1 0 1 0 0 0 0 0]
[1 1 0 0 0 0 0 0]
[1 0 0 0 1 0 0 0]
[1 0 0 1 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]"
