Graph String Name,Masrik Form of adjacency matrix
HCZbmqw,"[0 1 1 1 1 0 0 0 0]
[1 0 1 1 0 1 0 0 0]
[1 1 0 0 0 0 1 1 0]
[1 1 0 0 0 0 1 0 1]
[1 0 0 0 0 1 0 1 1]
[0 1 0 0 1 0 0 1 1]
[0 0 1 1 0 0 0 1 1]
[0 0 1 0 1 1 1 0 0]
[0 0 0 1 1 1 1 0 0]"
HCZVRqs,"[0 1 1 1 1 0 0 0 0]
[1 0 1 1 0 1 0 0 0]
[1 1 0 0 0 1 1 0 0]
[1 1 0 0 0 1 0 1 0]
[1 0 0 0 0 0 1 1 1]
[0 1 1 1 0 0 0 0 1]
[0 0 1 0 1 0 0 1 1]
[0 0 0 1 1 0 1 0 1]
[0 0 0 0 1 1 1 1 0]"
HCZTv`k,"[0 1 1 1 1 0 0 0 0]
[1 0 1 0 0 1 1 0 0]
[1 1 0 0 0 1 1 0 0]
[1 0 0 0 0 1 0 1 1]
[1 0 0 0 0 0 1 1 1]
[0 1 1 1 0 0 0 1 0]
[0 1 1 0 1 0 0 0 1]
[0 0 0 1 1 1 0 0 1]
[0 0 0 1 1 0 1 1 0]"
HCXk~bo,"[0 1 1 1 1 0 0 0 0]
[1 0 1 0 0 1 1 0 0]
[1 1 0 0 0 1 1 0 0]
[1 0 0 0 0 1 0 1 1]
[1 0 0 0 0 1 0 1 1]
[0 1 1 1 1 0 0 0 0]
[0 1 1 0 0 0 0 1 1]
[0 0 0 1 1 0 1 0 1]
[0 0 0 1 1 0 1 1 0]"
HCY^N`w,"[0 1 1 1 1 0 0 0 0]
[1 0 1 0 0 1 1 0 0]
[1 1 0 0 0 1 0 1 0]
[1 0 0 0 0 0 1 1 1]
[1 0 0 0 0 0 1 1 1]
[0 1 1 0 0 0 1 0 1]
[0 1 0 1 1 1 0 0 0]
[0 0 1 1 1 0 0 0 1]
[0 0 0 1 1 1 0 1 0]"
HEhfcxk,"[0 1 1 1 1 0 0 0 0]
[1 0 1 1 0 1 0 0 0]
[1 1 0 0 0 1 1 0 0]
[1 1 0 0 0 0 0 1 1]
[1 0 0 0 0 0 1 1 1]
[0 1 1 0 0 0 1 1 0]
[0 0 1 0 1 1 0 0 1]
[0 0 0 1 1 1 0 0 1]
[0 0 0 1 1 0 1 1 0]"
HEhethk,"[0 1 1 1 1 0 0 0 0]
[1 0 1 1 0 1 0 0 0]
[1 1 0 0 0 0 1 1 0]
[1 1 0 0 1 1 0 0 0]
[1 0 0 1 0 0 1 0 1]
[0 1 0 1 0 0 0 1 1]
[0 0 1 0 1 0 0 1 1]
[0 0 1 0 0 1 1 0 1]
[0 0 0 0 1 1 1 1 0]"
HEherik,"[0 1 1 1 1 0 0 0 0]
[1 0 1 0 0 1 1 0 0]
[1 1 0 1 0 1 0 0 0]
[1 0 1 0 1 0 0 1 0]
[1 0 0 1 0 0 0 1 1]
[0 1 1 0 0 0 1 0 1]
[0 1 0 0 0 1 0 1 1]
[0 0 0 1 1 0 1 0 1]
[0 0 0 0 1 1 1 1 0]"
HEhbtjK,"[0 1 1 1 1 0 0 0 0]
[1 0 1 0 0 1 1 0 0]
[1 1 0 0 0 0 0 1 1]
[1 0 0 0 1 1 0 1 0]
[1 0 0 1 0 0 1 0 1]
[0 1 0 1 0 0 1 1 0]
[0 1 0 0 1 1 0 0 1]
[0 0 1 1 0 1 0 0 1]
[0 0 1 0 1 0 1 1 0]"
HQhVTh[,"[0 1 1 1 1 0 0 0 0]
[1 0 1 1 0 1 0 0 0]
[1 1 0 1 0 1 0 0 0]
[1 1 1 0 0 0 1 0 0]
[1 0 0 0 0 0 1 1 1]
[0 1 1 0 0 0 0 1 1]
[0 0 0 1 1 0 0 1 1]
[0 0 0 0 1 1 1 0 1]
[0 0 0 0 1 1 1 1 0]"
HFzf~z{,"[0 1 1 1 1 1 1 0 0]
[1 0 1 1 1 0 0 1 1]
[1 1 0 0 0 1 1 1 1]
[1 1 0 0 0 1 1 1 1]
[1 1 0 0 0 1 1 1 1]
[1 0 1 1 1 0 0 1 1]
[1 0 1 1 1 0 0 1 1]
[0 1 1 1 1 1 1 0 0]
[0 1 1 1 1 1 1 0 0]"
HFzvvzm,"[0 1 1 1 1 1 1 0 0]
[1 0 1 1 1 1 0 1 0]
[1 1 0 1 1 1 0 0 1]
[1 1 1 0 0 0 1 1 1]
[1 1 1 0 0 0 1 1 1]
[1 1 1 0 0 0 1 1 1]
[1 0 0 1 1 1 0 1 1]
[0 1 0 1 1 1 1 0 1]
[0 0 1 1 1 1 1 1 0]"
HUZ~vzy,"[0 1 1 1 1 1 1 0 0]
[1 0 1 1 1 1 1 0 0]
[1 1 0 1 1 0 0 1 1]
[1 1 1 0 0 1 0 1 1]
[1 1 1 0 0 0 1 1 1]
[1 1 0 1 0 0 1 1 1]
[1 1 0 0 1 1 0 1 1]
[0 0 1 1 1 1 1 0 1]
[0 0 1 1 1 1 1 1 0]"
HUzvvx},"[0 1 1 1 1 1 1 0 0]
[1 0 1 1 1 1 0 1 0]
[1 1 0 1 1 0 0 1 1]
[1 1 1 0 0 1 1 0 1]
[1 1 1 0 0 0 1 1 1]
[1 1 0 1 0 0 1 1 1]
[1 0 0 1 1 1 0 1 1]
[0 1 1 0 1 1 1 0 1]
[0 0 1 1 1 1 1 1 0]"
H~~~~~~,"[0 1 1 1 1 1 1 1 1]
[1 0 1 1 1 1 1 1 1]
[1 1 0 1 1 1 1 1 1]
[1 1 1 0 1 1 1 1 1]
[1 1 1 1 0 1 1 1 1]
[1 1 1 1 1 0 1 1 1]
[1 1 1 1 1 1 0 1 1]
[1 1 1 1 1 1 1 0 1]
[1 1 1 1 1 1 1 1 0]"
