Graph String Name,Masrik Form of adjacency matrix
H?bB@_W,"[0 1 1 0 0 0 0 0 0]
[1 0 0 1 0 0 0 0 0]
[1 0 0 0 1 0 0 0 0]
[0 1 0 0 0 1 0 0 0]
[0 0 1 0 0 0 1 0 0]
[0 0 0 1 0 0 0 1 0]
[0 0 0 0 1 0 0 0 1]
[0 0 0 0 0 1 0 0 1]
[0 0 0 0 0 0 1 1 0]"
H?bAP_o,"[0 1 1 0 0 0 0 0 0]
[1 0 0 1 0 0 0 0 0]
[1 0 0 0 1 0 0 0 0]
[0 1 0 0 1 0 0 0 0]
[0 0 1 1 0 0 0 0 0]
[0 0 0 0 0 0 1 1 0]
[0 0 0 0 0 1 0 0 1]
[0 0 0 0 0 1 0 0 1]
[0 0 0 0 0 0 1 1 0]"
H?aJA_o,"[0 1 1 0 0 0 0 0 0]
[1 0 0 1 0 0 0 0 0]
[1 0 0 0 1 0 0 0 0]
[0 1 0 0 0 1 0 0 0]
[0 0 1 0 0 1 0 0 0]
[0 0 0 1 1 0 0 0 0]
[0 0 0 0 0 0 0 1 1]
[0 0 0 0 0 0 1 0 1]
[0 0 0 0 0 0 1 1 0]"
HCOcaOc,"[0 1 1 0 0 0 0 0 0]
[1 0 1 0 0 0 0 0 0]
[1 1 0 0 0 0 0 0 0]
[0 0 0 0 1 1 0 0 0]
[0 0 0 1 0 1 0 0 0]
[0 0 0 1 1 0 0 0 0]
[0 0 0 0 0 0 0 1 1]
[0 0 0 0 0 0 1 0 1]
[0 0 0 0 0 0 1 1 0]"
H?zVf_{,"[0 1 1 1 1 0 0 0 0]
[1 0 0 0 0 1 1 1 0]
[1 0 0 0 0 1 1 1 0]
[1 0 0 0 0 1 1 0 1]
[1 0 0 0 0 1 0 1 1]
[0 1 1 1 1 0 0 0 0]
[0 1 1 1 0 0 0 0 1]
[0 1 1 0 1 0 0 0 1]
[0 0 0 1 1 0 1 1 0]"
H?zTv`s,"[0 1 1 1 1 0 0 0 0]
[1 0 0 0 0 1 1 1 0]
[1 0 0 0 0 1 1 0 1]
[1 0 0 0 0 1 0 1 1]
[1 0 0 0 0 0 1 1 1]
[0 1 1 1 0 0 0 0 1]
[0 1 1 0 1 0 0 1 0]
[0 1 0 1 1 0 1 0 0]
[0 0 1 1 1 1 0 0 0]"
HCrfbo{,"[0 1 1 1 1 0 0 0 0]
[1 0 1 0 0 1 1 0 0]
[1 1 0 0 0 0 0 1 1]
[1 0 0 0 0 1 1 1 0]
[1 0 0 0 0 1 0 1 1]
[0 1 0 1 1 0 0 0 1]
[0 1 0 1 0 0 0 1 1]
[0 0 1 1 1 0 1 0 0]
[0 0 1 0 1 1 1 0 0]"
HCpvbqk,"[0 1 1 1 1 0 0 0 0]
[1 0 1 0 0 1 1 0 0]
[1 1 0 0 0 0 0 1 1]
[1 0 0 0 0 1 0 1 1]
[1 0 0 0 0 0 1 1 1]
[0 1 0 1 0 0 1 1 0]
[0 1 0 0 1 1 0 0 1]
[0 0 1 1 1 1 0 0 0]
[0 0 1 1 1 0 1 0 0]"
HCpvV_{,"[0 1 1 1 1 0 0 0 0]
[1 0 1 0 0 1 1 0 0]
[1 1 0 0 0 0 0 1 1]
[1 0 0 0 0 1 1 1 0]
[1 0 0 0 0 1 0 1 1]
[0 1 0 1 1 0 1 0 0]
[0 1 0 1 0 1 0 0 1]
[0 0 1 1 1 0 0 0 1]
[0 0 1 0 1 0 1 1 0]"
HCpvRqs,"[0 1 1 1 1 0 0 0 0]
[1 0 1 0 0 1 1 0 0]
[1 1 0 0 0 1 0 1 0]
[1 0 0 0 0 0 1 1 1]
[1 0 0 0 0 1 0 1 1]
[0 1 1 0 1 0 1 0 0]
[0 1 0 1 0 1 0 0 1]
[0 0 1 1 1 0 0 0 1]
[0 0 0 1 1 0 1 1 0]"
