Graph String Name,Masrik Form of adjacency matrix
G?`@?_,"[0 1 0 0 0 0 0 0]
[1 0 0 0 0 0 0 0]
[0 0 0 1 0 0 0 0]
[0 0 1 0 0 0 0 0]
[0 0 0 0 0 1 0 0]
[0 0 0 0 1 0 0 0]
[0 0 0 0 0 0 0 1]
[0 0 0 0 0 0 1 0]"
G?r@`_,"[0 1 1 0 0 0 0 0]
[1 0 0 1 0 0 0 0]
[1 0 0 1 0 0 0 0]
[0 1 1 0 0 0 0 0]
[0 0 0 0 0 1 1 0]
[0 0 0 0 1 0 0 1]
[0 0 0 0 1 0 0 1]
[0 0 0 0 0 1 1 0]"
G?qa`_,"[0 1 1 0 0 0 0 0]
[1 0 0 1 0 0 0 0]
[1 0 0 0 1 0 0 0]
[0 1 0 0 0 1 0 0]
[0 0 1 0 0 0 1 0]
[0 0 0 1 0 0 0 1]
[0 0 0 0 1 0 0 1]
[0 0 0 0 0 1 1 0]"
GCQR@O,"[0 1 1 0 0 0 0 0]
[1 0 0 1 0 0 0 0]
[1 0 0 0 1 0 0 0]
[0 1 0 0 1 0 0 0]
[0 0 1 1 0 0 0 0]
[0 0 0 0 0 0 1 1]
[0 0 0 0 0 1 0 1]
[0 0 0 0 0 1 1 0]"
G?zTb_,"[0 1 1 1 0 0 0 0]
[1 0 0 0 1 1 0 0]
[1 0 0 0 1 0 1 0]
[1 0 0 0 0 1 1 0]
[0 1 1 0 0 0 0 1]
[0 1 0 1 0 0 0 1]
[0 0 1 1 0 0 0 1]
[0 0 0 0 1 1 1 0]"
GCrb`o,"[0 1 1 1 0 0 0 0]
[1 0 0 0 1 1 0 0]
[1 0 0 0 0 0 1 1]
[1 0 0 0 1 0 1 0]
[0 1 0 1 0 0 0 1]
[0 1 0 0 0 0 1 1]
[0 0 1 1 0 1 0 0]
[0 0 1 0 1 1 0 0]"
GCZJd_,"[0 1 1 1 0 0 0 0]
[1 0 0 0 1 1 0 0]
[1 0 0 0 0 0 1 1]
[1 0 0 0 1 0 1 0]
[0 1 0 1 0 1 0 0]
[0 1 0 0 1 0 0 1]
[0 0 1 1 0 0 0 1]
[0 0 1 0 0 1 1 0]"
GCXmd_,"[0 1 1 1 0 0 0 0]
[1 0 1 1 0 0 0 0]
[1 1 0 0 1 0 0 0]
[1 1 0 0 0 1 0 0]
[0 0 1 0 0 0 1 1]
[0 0 0 1 0 0 1 1]
[0 0 0 0 1 1 0 1]
[0 0 0 0 1 1 1 0]"
GCY^B_,"[0 1 1 1 0 0 0 0]
[1 0 0 0 1 1 0 0]
[1 0 0 0 0 0 1 1]
[1 0 0 0 0 0 1 1]
[0 1 0 0 0 1 1 0]
[0 1 0 0 1 0 0 1]
[0 0 1 1 1 0 0 0]
[0 0 1 1 0 1 0 0]"
GQhTQg,"[0 1 1 1 0 0 0 0]
[1 0 1 1 0 0 0 0]
[1 1 0 1 0 0 0 0]
[1 1 1 0 0 0 0 0]
[0 0 0 0 0 1 1 1]
[0 0 0 0 1 0 1 1]
[0 0 0 0 1 1 0 1]
[0 0 0 0 1 1 1 0]"
G?~vf_,"[0 1 1 1 1 0 0 0]
[1 0 0 0 0 1 1 1]
[1 0 0 0 0 1 1 1]
[1 0 0 0 0 1 1 1]
[1 0 0 0 0 1 1 1]
[0 1 1 1 1 0 0 0]
[0 1 1 1 1 0 0 0]
[0 1 1 1 1 0 0 0]"
GCzvbo,"[0 1 1 1 1 0 0 0]
[1 0 1 0 0 1 1 0]
[1 1 0 0 0 1 0 1]
[1 0 0 0 0 1 1 1]
[1 0 0 0 0 1 1 1]
[0 1 1 1 1 0 0 0]
[0 1 0 1 1 0 0 1]
[0 0 1 1 1 0 1 0]"
GEnfbW,"[0 1 1 1 1 0 0 0]
[1 0 1 1 0 1 0 0]
[1 1 0 0 0 1 1 0]
[1 1 0 0 0 0 1 1]
[1 0 0 0 0 1 1 1]
[0 1 1 0 1 0 0 1]
[0 0 1 1 1 0 0 1]
[0 0 0 1 1 1 1 0]"
GEnbvG,"[0 1 1 1 1 0 0 0]
[1 0 1 1 1 0 0 0]
[1 1 0 0 0 1 1 0]
[1 1 0 0 0 1 0 1]
[1 1 0 0 0 0 1 1]
[0 0 1 1 0 0 1 1]
[0 0 1 0 1 1 0 1]
[0 0 0 1 1 1 1 0]"
GQzTrg,"[0 1 1 1 1 0 0 0]
[1 0 1 1 0 1 0 0]
[1 1 0 1 0 0 1 0]
[1 1 1 0 0 0 0 1]
[1 0 0 0 0 1 1 1]
[0 1 0 0 1 0 1 1]
[0 0 1 0 1 1 0 1]
[0 0 0 1 1 1 1 0]"
GQyurg,"[0 1 1 1 1 0 0 0]
[1 0 1 1 0 1 0 0]
[1 1 0 0 1 0 1 0]
[1 1 0 0 0 1 0 1]
[1 0 1 0 0 0 1 1]
[0 1 0 1 0 0 1 1]
[0 0 1 0 1 1 0 1]
[0 0 0 1 1 1 1 0]"
GFzvvW,"[0 1 1 1 1 1 0 0]
[1 0 1 1 1 0 1 0]
[1 1 0 0 0 1 1 1]
[1 1 0 0 0 1 1 1]
[1 1 0 0 0 1 1 1]
[1 0 1 1 1 0 0 1]
[0 1 1 1 1 0 0 1]
[0 0 1 1 1 1 1 0]"
GQ~vvg,"[0 1 1 1 1 1 0 0]
[1 0 1 1 1 1 0 0]
[1 1 0 1 0 0 1 1]
[1 1 1 0 0 0 1 1]
[1 1 0 0 0 1 1 1]
[1 1 0 0 1 0 1 1]
[0 0 1 1 1 1 0 1]
[0 0 1 1 1 1 1 0]"
GUzvrw,"[0 1 1 1 1 1 0 0]
[1 0 1 1 1 0 1 0]
[1 1 0 1 0 1 0 1]
[1 1 1 0 0 0 1 1]
[1 1 0 0 0 1 1 1]
[1 0 1 0 1 0 1 1]
[0 1 0 1 1 1 0 1]
[0 0 1 1 1 1 1 0]"
G]~v~w,"[0 1 1 1 1 1 1 0]
[1 0 1 1 1 1 0 1]
[1 1 0 1 1 0 1 1]
[1 1 1 0 0 1 1 1]
[1 1 1 0 0 1 1 1]
[1 1 0 1 1 0 1 1]
[1 0 1 1 1 1 0 1]
[0 1 1 1 1 1 1 0]"
G~~~~{,"[0 1 1 1 1 1 1 1]
[1 0 1 1 1 1 1 1]
[1 1 0 1 1 1 1 1]
[1 1 1 0 1 1 1 1]
[1 1 1 1 0 1 1 1]
[1 1 1 1 1 0 1 1]
[1 1 1 1 1 1 0 1]
[1 1 1 1 1 1 1 0]"
