Graph String Name,Masrik Form of adjacency matrix
FCp`_,"[0 1 1 0 0 0 0]
[1 0 0 1 0 0 0]
[1 0 0 0 1 0 0]
[0 1 0 0 0 1 0]
[0 0 1 0 0 0 1]
[0 0 0 1 0 0 1]
[0 0 0 0 1 1 0]"
FCdb?,"[0 1 1 0 0 0 0]
[1 0 0 1 0 0 0]
[1 0 0 1 0 0 0]
[0 1 1 0 0 0 0]
[0 0 0 0 0 1 1]
[0 0 0 0 1 0 1]
[0 0 0 0 1 1 0]"
FFzvO,"[0 1 1 1 1 0 0]
[1 0 1 1 1 0 0]
[1 1 0 0 0 1 1]
[1 1 0 0 0 1 1]
[1 1 0 0 0 1 1]
[0 0 1 1 1 0 1]
[0 0 1 1 1 1 0]"
FUzro,"[0 1 1 1 1 0 0]
[1 0 1 1 0 1 0]
[1 1 0 0 1 0 1]
[1 1 0 0 0 1 1]
[1 0 1 0 0 1 1]
[0 1 0 1 1 0 1]
[0 0 1 1 1 1 0]"
F~~~w,"[0 1 1 1 1 1 1]
[1 0 1 1 1 1 1]
[1 1 0 1 1 1 1]
[1 1 1 0 1 1 1]
[1 1 1 1 0 1 1]
[1 1 1 1 1 0 1]
[1 1 1 1 1 1 0]"
